generation,best_fitness,mean_fitness,mean_reward,mean_survival,mean_floor_reached,mean_bosses_defeated,mean_chests_opened,mean_powerups_picked,mean_damage_powerups,mean_range_powerups,mean_speed_powerups,mean_diagonal_powerups,mean_vitality_powerups,mean_damage,mean_gate_distance,mean_best_gate_distance,mean_gate_tile_visits,mean_use_gate_attempts,mean_invalid_use_gate_attempts,success_rate,champion_id,elite_ids
2896,2003.9385986328125,1856.59765625,1601.2611083984375,299.6812438964844,4.71875,0.0,6.53125,13.03125,4.6875,0.84375,1.8125,0.0,5.6875,56.4375,2.78125,2.0,3.71875,8.5,8.5,0.0,3,3 2
2897,2090.88916015625,1933.5576171875,1668.0589599609375,299.3062438964844,4.875,0.0,6.78125,13.5625,4.8125,0.96875,1.96875,0.0,5.8125,58.09375,0.4375,2.0,3.875,7.875,7.875,0.0,3,3 2
2898,2026.5130615234375,1889.3511962890625,1631.3343505859375,300.875,4.75,0.0,6.6875,13.34375,4.75,0.90625,1.9375,0.0,5.75,58.974998474121094,3.25,2.0,3.75,8.28125,8.28125,0.0,3,3 4
2899,1957.3685302734375,1821.4420166015625,1570.3978271484375,287.7875061035156,4.65625,0.0,6.40625,12.78125,4.59375,0.8125,1.78125,0.0,5.59375,56.79375076293945,1.25,2.0,3.65625,7.40625,7.40625,0.0,3,3 2
2900,2013.5826416015625,1875.1171875,1616.542236328125,332.8187561035156,4.75,0.0,6.65625,13.3125,4.71875,0.9375,1.9375,0.0,5.71875,57.099998474121094,4.78125,2.0,3.75,9.3125,9.3125,0.0,3,3 2
2901,2102.653076171875,1960.7666015625,1692.9078369140625,310.1937561035156,4.90625,0.0,6.84375,13.6875,4.84375,1.0,2.0,0.0,5.84375,58.28125,5.40625,2.0,3.90625,11.34375,11.34375,0.0,3,3 2
2902,1934.783935546875,1793.5230712890625,1544.4906005859375,295.96875,4.625,0.0,6.4375,12.8125,4.53125,0.875,1.875,0.0,5.53125,54.32500076293945,4.5,2.0,3.625,9.28125,9.28125,0.0,3,3 2
2903,1888.14453125,1761.8828125,1517.183837890625,287.1812438964844,4.5625,0.0,6.3125,12.59375,4.53125,0.75,1.78125,0.0,5.53125,53.9375,2.625,2.0,3.5625,7.75,7.75,0.0,3,3 2
2904,2098.399658203125,1934.485595703125,1668.5970458984375,313.91876220703125,4.875,0.0,6.78125,13.5625,4.875,0.90625,1.90625,0.0,5.875,57.82500076293945,0.34375,2.0,3.875,9.9375,9.9375,0.0,3,3 2
2905,2036.9486083984375,1903.322021484375,1640.8157958984375,324.95001220703125,4.8125,0.0,6.875,13.6875,4.8125,1.03125,2.03125,0.0,5.8125,56.98749923706055,1.03125,2.0,3.8125,10.875,10.875,0.0,3,3 2
2906,1960.3189697265625,1820.577392578125,1568.8409423828125,306.4375,4.65625,0.0,6.53125,13.03125,4.65625,0.875,1.84375,0.0,5.65625,56.14374923706055,3.3125,2.0,3.65625,8.625,8.625,0.0,3,3 2
2907,1995.5504150390625,1860.867919921875,1604.9580078125,309.67498779296875,4.71875,0.0,6.8125,13.59375,4.71875,1.0625,2.09375,0.0,5.71875,54.83124923706055,4.875,2.0,3.71875,9.5625,9.5625,0.0,3,3 2
2908,1958.998046875,1811.5521240234375,1562.057373046875,295.8999938964844,4.625,0.0,6.59375,13.15625,4.625,0.9375,1.96875,0.0,5.625,55.16875076293945,1.40625,2.0,3.625,8.75,8.75,0.0,3,3 2
2909,2013.436279296875,1882.334716796875,1622.0601806640625,324.85626220703125,4.78125,0.0,6.6875,13.34375,4.78125,0.90625,1.875,0.0,5.78125,57.10625076293945,0.1875,2.0,3.78125,10.34375,10.34375,0.0,3,3 1
2910,2088.46923828125,1953.09765625,1684.455810546875,338.57501220703125,4.90625,0.0,6.84375,13.65625,4.90625,0.9375,1.90625,0.0,5.90625,57.900001525878906,1.15625,2.0,3.90625,10.3125,10.3125,0.0,3,3 1
2911,2054.73974609375,1919.1490478515625,1655.082763671875,315.9937438964844,4.84375,0.0,6.75,13.46875,4.84375,0.875,1.90625,0.0,5.84375,58.118751525878906,0.625,2.0,3.84375,11.125,11.125,0.0,3,3 2
2912,2008.6956787109375,1889.466064453125,1629.0460205078125,317.98748779296875,4.78125,0.0,6.875,13.59375,4.65625,1.0625,2.1875,0.0,5.6875,56.974998474121094,2.84375,2.0,3.78125,10.375,10.375,0.0,3,3 4
2913,1994.38330078125,1856.8883056640625,1600.7900390625,311.51873779296875,4.71875,0.0,6.71875,13.40625,4.6875,1.0,2.03125,0.0,5.6875,56.61249923706055,3.09375,2.0,3.71875,10.96875,10.96875,0.0,3,3 2
2914,2028.942138671875,1882.183837890625,1623.308349609375,289.9937438964844,4.78125,0.0,6.625,13.15625,4.78125,0.78125,1.8125,0.0,5.78125,55.837501525878906,3.0,2.0,3.78125,10.34375,10.34375,0.0,3,3 4
