generation,best_fitness,mean_fitness,mean_reward,mean_survival,mean_floor_reached,mean_bosses_defeated,mean_chests_opened,mean_damage,mean_gate_distance,success_rate,champion_id,elite_ids
112,344.1621398925781,340.7181396484375,300.81500244140625,612.7999877929688,1.0,0.0,2.0,7.0,20.5625,0.0,1,1 4
113,375.36676025390625,371.92987060546875,330.1698913574219,650.0,1.0,0.0,2.0,7.0,20.125,0.0,1,1 4
114,365.4736328125,363.45989990234375,323.6405334472656,616.2000122070312,1.0,0.0,2.0,7.0,21.0,0.0,1,1 3
115,390.5231628417969,387.37542724609375,345.68951416015625,648.5999755859375,1.0,0.0,2.0,7.0,20.625,0.0,1,1 3
116,396.1201171875,393.5054626464844,352.6664123535156,631.4000244140625,1.0,0.0,2.0,7.0,19.40625,0.0,1,1 3
117,368.4073791503906,366.41766357421875,325.68829345703125,631.7999877929688,1.0,0.0,2.0,7.0,21.1875,0.0,1,1 3
118,393.0044860839844,391.2862243652344,349.77655029296875,645.0,1.0,0.0,2.0,7.0,19.96875,0.0,3,3 4
119,388.8419494628906,387.57891845703125,346.14984130859375,643.4000244140625,1.0,0.0,2.0,7.0,19.0,0.0,4,4 1
120,375.18060302734375,373.57171630859375,333.0354919433594,630.2000122070312,1.0,0.0,2.0,7.0,20.0625,0.0,3,3 1
121,359.4678955078125,357.1560363769531,316.1897888183594,634.0,1.0,0.0,2.0,7.0,21.09375,0.0,3,3 1
122,380.2143249511719,378.7774353027344,338.1955871582031,626.4000244140625,1.0,0.0,2.0,7.0,20.09375,0.0,1,1 4
123,374.40740966796875,373.18450927734375,332.0067138671875,638.4000244140625,1.0,0.0,2.0,7.0,21.125,0.0,1,1 3
124,383.5693054199219,380.54608154296875,338.98016357421875,646.2000122070312,1.0,0.0,2.0,7.0,19.96875,0.0,3,3 1
