generation,best_fitness,mean_fitness,mean_reward,mean_survival,mean_floor_reached,mean_bosses_defeated,mean_chests_opened,mean_powerups_picked,mean_damage_powerups,mean_range_powerups,mean_speed_powerups,mean_diagonal_powerups,mean_vitality_powerups,mean_damage,mean_gate_distance,mean_best_gate_distance,mean_gate_tile_visits,mean_use_gate_attempts,mean_invalid_use_gate_attempts,success_rate,champion_id,elite_ids
1856,701.983154296875,698.928955078125,587.8289794921875,283.4750061035156,2.84375,0.0,3.46875,3.46875,1.71875,0.0,0.75,0.0,1.0,31.1875,35.15625,1.0,1.84375,2.53125,2.53125,0.0,3,3 2
1857,708.101318359375,703.2968139648438,591.6726684570312,290.3999938964844,2.84375,0.0,3.5,3.5,1.8125,0.0,0.6875,0.0,1.0,31.481250762939453,35.0625,1.0,1.84375,1.84375,1.84375,0.0,3,3 0
1858,641.5432739257812,638.3595581054688,535.4442138671875,278.54998779296875,2.6875,0.0,3.1875,3.1875,1.5625,0.0,0.625,0.0,1.0,29.793750762939453,37.28125,1.0,1.6875,2.15625,2.15625,0.0,3,3 4
1859,682.0257568359375,676.8770751953125,569.3221435546875,296.61248779296875,2.75,0.0,3.4375,3.4375,1.71875,0.0,0.71875,0.0,1.0,30.412500381469727,38.96875,2.46875,1.75,1.875,1.875,0.0,3,3 4
1860,673.6033325195312,669.1535034179688,561.4639892578125,284.45001220703125,2.78125,0.0,3.34375,3.34375,1.65625,0.0,0.6875,0.0,1.0,29.331249237060547,40.09375,1.0,1.78125,2.40625,2.40625,0.0,3,3 0
1861,678.6007690429688,674.4586181640625,566.6973266601562,283.38751220703125,2.78125,0.0,3.34375,3.34375,1.65625,0.0,0.6875,0.0,1.0,30.024999618530273,34.28125,1.0,1.78125,1.78125,1.78125,0.0,3,3 4
1862,687.3660888671875,682.1676025390625,572.4808349609375,293.6187438964844,2.8125,0.0,3.34375,3.34375,1.65625,0.0,0.6875,0.0,1.0,30.587499618530273,36.625,1.0,1.8125,1.875,1.875,0.0,3,3 4
1863,663.7304077148438,660.5930786132812,553.5740966796875,277.5,2.78125,0.0,3.28125,3.28125,1.59375,0.0,0.6875,0.0,1.0,28.924999237060547,40.90625,1.0,1.78125,1.71875,1.71875,0.0,3,3 0
1864,702.1769409179688,698.4906005859375,587.06494140625,290.1875,2.84375,0.0,3.5,3.5,1.75,0.0,0.75,0.0,1.0,30.4375,38.65625,1.0,1.84375,2.0,2.0,0.0,3,3 1
1865,721.3709106445312,717.4204711914062,603.8592529296875,292.20623779296875,2.90625,0.0,3.28125,3.28125,1.65625,0.0,0.625,0.0,1.0,32.01874923706055,38.53125,1.0,1.90625,2.40625,2.40625,0.0,3,3 4
1866,664.7213745117188,660.308837890625,555.3155517578125,274.76251220703125,2.71875,0.0,3.40625,3.40625,1.6875,0.0,0.6875,0.0,1.03125,30.237499237060547,37.625,1.0,1.71875,2.65625,2.65625,0.0,3,3 1
1867,689.4193115234375,685.4212646484375,576.2350463867188,276.20001220703125,2.8125,0.0,3.4375,3.4375,1.71875,0.0,0.75,0.0,0.96875,30.5625,40.25,1.0,1.8125,1.96875,1.96875,0.0,3,3 1
1868,610.3856201171875,608.904541015625,509.94207763671875,263.67498779296875,2.625,0.0,3.125,3.125,1.59375,0.0,0.5625,0.0,0.96875,27.9375,42.28125,1.0,1.625,1.875,1.875,0.0,3,3 4
1869,594.7882080078125,590.22900390625,493.77655029296875,251.0749969482422,2.59375,0.0,3.0,3.0,1.5,0.0,0.53125,0.0,0.96875,27.5625,38.71875,1.0,1.59375,1.71875,1.71875,0.0,3,3 4
1870,600.512939453125,596.6738891601562,499.07562255859375,249.74374389648438,2.625,0.0,2.96875,2.96875,1.4375,0.0,0.5,0.03125,1.0,27.700000762939453,38.09375,1.0,1.625,1.5625,1.5625,0.0,3,3 4
1871,636.6121826171875,632.65283203125,531.2740478515625,260.8374938964844,2.6875,0.0,3.03125,3.03125,1.53125,0.0,0.5,0.0,1.0,29.649999618530273,40.5625,1.53125,1.6875,2.0,2.0,0.0,3,3 0
1872,642.796142578125,639.6474609375,537.1624755859375,267.57501220703125,2.6875,0.0,3.25,3.25,1.625,0.0,0.625,0.0,1.0,29.0625,42.09375,1.0,1.6875,1.6875,1.6875,0.0,3,3 4
1873,563.0598754882812,561.2735595703125,470.35906982421875,234.46875,2.5,0.0,2.8125,2.8125,1.4375,0.0,0.40625,0.0,0.96875,27.450000762939453,39.46875,1.0,1.5,1.875,1.875,0.0,3,3 2
1874,649.1909790039062,645.2056884765625,542.8233032226562,262.64373779296875,2.6875,0.0,3.25,3.25,1.625,0.0,0.625,0.0,1.0,29.862499237060547,38.40625,1.0,1.6875,1.90625,1.90625,0.0,3,3 2
1875,590.58837890625,588.17431640625,494.37890625,254.1750030517578,2.53125,0.0,2.90625,2.90625,1.46875,0.0,0.4375,0.0,1.0,28.606250762939453,40.0625,1.0,1.53125,1.9375,1.9375,0.0,3,3 4
1876,588.9674072265625,584.3829956054688,489.49627685546875,246.1437530517578,2.5625,0.0,3.0,3.0,1.46875,0.0,0.5,0.03125,1.0,27.524999618530273,40.375,1.9375,1.5625,1.59375,1.59375,0.0,3,3 2
1877,610.5127563476562,606.6596069335938,507.93707275390625,266.5562438964844,2.625,0.0,3.03125,3.03125,1.53125,0.0,0.53125,0.0,0.96875,27.887500762939453,41.0625,1.0,1.625,1.875,1.875,0.0,3,3 4
1878,664.3048095703125,661.6201171875,554.8014526367188,281.33123779296875,2.78125,0.0,3.1875,3.1875,1.5625,0.0,0.59375,0.0,1.03125,28.831249237060547,39.65625,1.0,1.78125,2.0625,2.0625,0.0,3,3 4
1879,628.9398193359375,621.4393920898438,521.7406005859375,284.98126220703125,2.625,0.0,3.0,3.0,1.40625,0.0,0.59375,0.0,1.0,28.887500762939453,36.125,1.0,1.625,2.03125,2.03125,0.0,3,3 2
1880,638.5353393554688,632.1973266601562,530.2093505859375,282.73748779296875,2.65625,0.0,3.25,3.25,1.5625,0.0,0.6875,0.0,1.0,29.381250381469727,39.34375,1.0,1.65625,1.875,1.875,0.0,3,3 0
1881,658.163330078125,652.1448364257812,545.9644775390625,297.60626220703125,2.75,0.0,3.15625,3.15625,1.5625,0.0,0.59375,0.0,1.0,28.75,39.0625,1.0,1.75,1.78125,1.78125,0.0,3,3 4
1882,618.9849853515625,614.1678466796875,513.1380004882812,284.8500061035156,2.65625,0.0,3.0625,3.0625,1.5,0.0,0.5625,0.0,1.0,27.637500762939453,41.625,1.0,1.65625,1.21875,1.21875,0.0,3,3 4
1883,614.7788696289062,607.1453247070312,508.303466796875,272.7250061035156,2.625,0.0,3.0,3.0,1.46875,0.0,0.5625,0.0,0.96875,27.53125,41.90625,1.0,1.625,1.1875,1.1875,0.0,3,3 4
1884,687.4758911132812,683.0315551757812,575.79638671875,305.9750061035156,2.71875,0.0,3.53125,3.53125,1.625,0.0,0.96875,0.0,0.9375,31.243749618530273,29.9375,1.09375,1.71875,1.53125,1.53125,0.0,3,3 1
1885,593.0230712890625,585.057861328125,488.3961486816406,277.65625,2.5625,0.0,3.0625,3.0625,1.5,0.0,0.59375,0.0,0.96875,27.243749618530273,41.53125,1.0,1.5625,1.53125,1.53125,0.0,3,3 4
1886,606.489013671875,600.6166381835938,501.79638671875,288.79376220703125,2.59375,0.0,3.09375,3.09375,1.4375,0.0,0.65625,0.0,1.0,28.15625,39.71875,1.0,1.59375,1.09375,1.09375,0.0,3,3 4
1887,624.388671875,619.7406005859375,518.5751953125,294.96875,2.625,0.0,3.21875,3.21875,1.5,0.0,0.71875,0.0,1.0,29.399999618530273,36.65625,1.0,1.625,1.125,1.125,0.0,3,3 4
1888,673.2022705078125,668.2000732421875,560.34228515625,302.83123779296875,2.75,0.0,3.40625,3.40625,1.625,0.0,0.78125,0.0,1.0,31.0625,39.21875,1.0,1.75,1.40625,1.40625,0.0,3,3 1
1889,671.6907348632812,666.135986328125,559.7236328125,291.0687561035156,2.71875,0.0,3.59375,3.59375,1.6875,0.0,0.90625,0.0,1.0,29.424999237060547,34.6875,1.25,1.71875,0.9375,0.9375,0.0,3,3 4
