generation,best_fitness,mean_fitness,mean_reward,mean_survival,mean_floor_reached,mean_bosses_defeated,mean_chests_opened,mean_powerups_picked,mean_damage_powerups,mean_range_powerups,mean_speed_powerups,mean_diagonal_powerups,mean_vitality_powerups,mean_damage,mean_gate_distance,mean_best_gate_distance,mean_gate_tile_visits,mean_use_gate_attempts,mean_invalid_use_gate_attempts,success_rate,champion_id,elite_ids
0,-24.008441925048828,-25.457815170288086,-29.65781593322754,66.5625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.84375,45.21875,52.53125,0.0,26.40625,26.40625,0.0,2,2 4
1,-18.93688201904297,-20.902130126953125,-25.14712905883789,66.67500305175781,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0625,44.3125,52.25,0.0,23.5625,23.5625,0.0,2,2 3
2,-27.87468910217285,-29.134685516357422,-33.20093536376953,64.5625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65625,38.875,52.09375,0.0,19.75,19.75,0.0,3,3 2
3,-10.716257095336914,-12.106880187988281,-16.883441925048828,75.28125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.625,46.84375,51.40625,0.0,19.59375,19.59375,0.0,4,4 0
4,-4.081881523132324,-5.2200026512146,-10.192190170288086,76.71875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3125,48.03125,51.03125,0.0,18.9375,18.9375,0.0,2,2 4
5,-2.681567430496216,-4.197315216064453,-8.950440406799316,74.0250015258789,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84375,49.875,51.28125,0.0,15.84375,15.84375,0.0,4,4 2
6,-5.357190132141113,-5.979938507080078,-10.415563583374023,68.80000305175781,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.53125,51.25,51.96875,0.0,14.03125,14.03125,0.0,4,4 0
7,2.924992084503174,0.9323687553405762,-4.117318630218506,78.4937515258789,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,54.125,51.8125,0.0,19.1875,19.1875,0.0,4,4 3
8,6.360304832458496,4.099180698394775,-0.7445695400238037,74.0374984741211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.34375,54.78125,52.40625,0.0,18.8125,18.8125,0.0,4,4 3
9,7.761869430541992,6.340996742248535,1.315058946609497,76.89375305175781,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5625,54.25,52.3125,0.0,14.96875,14.96875,0.0,3,3 4
10,-0.031573690474033356,-1.2189466953277588,-5.8555097579956055,71.6937484741211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84375,53.84375,53.21875,0.0,14.21875,14.21875,0.0,4,4 2
11,4.446867942810059,3.358867645263672,-1.3845696449279785,72.8187484741211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.125,55.0625,52.8125,0.0,14.59375,14.59375,0.0,4,4 0
12,5.562173366546631,3.8941760063171387,-1.0308239459991455,75.6624984741211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.34375,55.5,53.09375,0.0,13.90625,13.90625,0.0,3,3 4
13,9.640307426452637,8.570306777954102,3.5340561866760254,76.3125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.78125,54.59375,52.46875,0.0,12.09375,12.09375,0.0,3,3 4
14,7.745934963226318,6.347559928894043,1.5078723430633545,73.95625305175781,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.34375,55.15625,52.8125,0.0,13.0,13.0,0.0,4,4 2
15,7.0456223487854,5.588995456695557,1.1139954328536987,67.44999694824219,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.125,55.4375,53.46875,0.0,8.3125,8.3125,0.0,2,2 3
16,6.773120880126953,5.092621326446533,0.2879335284233093,72.6937484741211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,53.15625,52.8125,0.0,8.5,8.5,0.0,3,3 4
17,9.27843952178955,7.554439544677734,2.7756893634796143,72.73750305175781,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.34375,54.65625,52.96875,0.0,7.59375,7.59375,0.0,4,4 3
18,7.756561279296875,5.451808929443359,0.5621212720870972,73.60624694824219,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.71875,53.5625,53.0,0.0,7.96875,7.96875,0.0,2,2 3
19,9.381560325622559,7.109059810638428,2.2562477588653564,74.21875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.34375,55.59375,52.90625,0.0,6.71875,6.71875,0.0,2,2 4
20,10.47125244140625,9.300374031066895,4.1884989738464355,78.61250305175781,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5625,55.15625,52.46875,0.0,6.40625,6.40625,0.0,3,3 4
21,10.973432540893555,9.571557998657227,4.422807216644287,78.5625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.78125,54.5,52.625,0.0,6.09375,6.09375,0.0,4,4 2
22,11.106249809265137,9.984251022338867,5.084563255310059,74.3687515258789,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5625,53.90625,52.46875,0.0,5.09375,5.09375,0.0,3,3 2
23,12.002817153930664,10.627443313598633,5.464005470275879,78.85624694824219,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.78125,54.03125,52.21875,0.0,6.0,6.0,0.0,3,3 2
24,10.638123512268066,8.973750114440918,4.256563186645508,70.71875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5625,54.96875,53.03125,0.0,4.75,4.75,0.0,4,4 2
25,11.095932960510254,9.774557113647461,4.899557590484619,73.0875015258789,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.78125,54.84375,53.09375,0.0,5.0625,5.0625,0.0,2,2 4
26,9.433119773864746,8.379495620727539,3.8510582447052,66.9437484741211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5625,55.09375,53.65625,0.0,5.46875,5.46875,0.0,3,3 4
27,7.127802848815918,5.559930324554443,0.7830554246902466,72.69999694824219,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.34375,55.3125,53.78125,0.0,5.90625,5.90625,0.0,4,4 2
28,7.409054756164551,6.1263041496276855,1.6522419452667236,66.64375305175781,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.34375,55.4375,53.65625,0.0,6.0625,6.0625,0.0,3,3 2
