generation,best_fitness,mean_fitness,mean_reward,mean_survival,mean_floor_reached,mean_bosses_defeated,mean_chests_opened,mean_powerups_picked,mean_damage_powerups,mean_range_powerups,mean_speed_powerups,mean_diagonal_powerups,mean_vitality_powerups,mean_damage,mean_gate_distance,mean_best_gate_distance,mean_gate_tile_visits,mean_use_gate_attempts,mean_invalid_use_gate_attempts,mean_boss_damage,mean_boss_hits,mean_boss_health_remaining,mean_floor5_entry_alive,mean_floor5_entry_power_score,mean_alive_attack_bonus,mean_alive_range_bonus,mean_powered_agent_deaths,mean_miniboss_defeated,success_rate,champion_id,elite_ids
1074,9065.28515625,6645.6962890625,5867.8515625,413.5718688964844,9.984375,1.015625,16.828125,33.65625,9.953125,5.890625,5.953125,1.921875,9.9375,167.88125610351562,45.40625,2.0,8.984375,187.296875,86.28125,75.1875,3.4937500953674316,78.75,5.0,25.0,0.2864583432674408,0.01875000074505806,0.984375,1.0,0.0,3,3 1
1075,8967.701171875,6584.2822265625,5808.61572265625,407.6781311035156,9.921875,1.03125,16.640625,33.25,9.828125,5.71875,5.90625,1.890625,9.90625,165.7921905517578,41.21875,2.0,8.921875,186.671875,80.21875,73.1500015258789,3.421875,83.625,4.984375,24.9375,0.42578125,0.05156249925494194,0.953125,1.0,0.0,3,3 2
1076,8832.2099609375,6479.82763671875,5720.5205078125,408.3843688964844,9.828125,0.96875,16.3125,32.546875,9.71875,5.578125,5.75,1.84375,9.65625,165.2390594482422,41.5625,2.0,8.828125,180.453125,82.421875,72.5562515258789,3.3499999046325684,81.28125,4.984375,24.59375,0.166015625,0.0,1.015625,0.96875,0.0,3,3 2
1077,8666.6767578125,6384.96142578125,5632.03759765625,400.8218688964844,9.703125,0.984375,16.234375,32.4375,9.5625,5.625,5.75,1.9375,9.5625,159.6875,41.328125,2.0,8.703125,186.1875,77.625,69.16719055175781,3.28125,89.1640625,4.84375,24.21875,0.44921875,0.03750000149011612,0.984375,0.953125,0.0,3,3 2
1078,8801.5,6492.375,5727.3876953125,408.94061279296875,9.84375,1.0,16.46875,32.890625,9.6875,5.703125,5.90625,1.90625,9.6875,161.97811889648438,41.109375,2.0,8.84375,198.484375,80.140625,70.4078140258789,3.362499952316284,92.0234375,4.96875,25.0,0.4029947817325592,0.03333333507180214,0.984375,0.984375,0.0,3,3 2
1079,8927.857421875,6565.265625,5798.01806640625,405.94061279296875,9.90625,0.984375,16.6875,33.34375,9.84375,5.8125,5.90625,1.9375,9.84375,165.6640625,43.765625,2.0,8.90625,199.078125,80.953125,72.42655944824219,3.4000000953674316,90.6796875,4.875,24.546875,0.25390625,0.0,1.0,0.984375,0.0,3,3 1
1080,8955.3916015625,6581.42431640625,5810.48681640625,409.0687561035156,9.921875,1.0,16.65625,33.296875,9.828125,5.8125,5.90625,1.9375,9.8125,166.890625,43.203125,2.0,8.921875,193.734375,75.546875,72.6546859741211,3.403125047683716,91.4140625,4.953125,25.0,0.2962239682674408,0.01875000074505806,0.984375,0.984375,0.0,3,3 1
1081,8635.2421875,6370.81591796875,5617.37841796875,406.98748779296875,9.703125,0.984375,16.3125,32.625,9.59375,5.640625,5.84375,1.90625,9.640625,160.640625,44.140625,2.0,8.703125,175.125,67.359375,68.79219055175781,3.237499952316284,87.6015625,4.859375,24.4453125,0.2897135317325592,0.02265625074505806,1.0,0.953125,0.0,3,3 2
1082,8084.58544921875,5964.4052734375,5257.26953125,390.54376220703125,9.25,0.890625,15.46875,30.921875,9.171875,5.1875,5.515625,1.765625,9.28125,149.8984375,43.0625,2.0,8.25,180.46875,70.21875,64.9515609741211,3.0562500953674316,76.1796875,4.421875,22.6015625,0.458984375,0.02265625074505806,1.015625,0.875,0.0,3,3 1
1083,8902.8359375,6507.5673828125,5741.23486328125,412.99688720703125,9.84375,1.0,16.546875,33.078125,9.75,5.734375,5.890625,1.9375,9.765625,167.91250610351562,45.4375,2.0,8.84375,198.53125,76.390625,73.1421890258789,3.387500047683716,73.0390625,4.953125,24.9375,0.279296875,0.02500000037252903,0.96875,0.984375,0.0,3,3 2
